text,label
ABC*8891-RETRO FITNESS 888-8279262 MI,0
ABC*8891-RETRO FITNESS 888-8279262 MI,0
COSTCO WHSE #0376 AUBURN HILLS MI,1
COSTCO WHSE #0376 AUBURN HILLS MI,1
COSTCO WHSE #0376 AUBURN HILLS MI,1
APPLE.COM/BILL 866-712-7753 CA,7
CVS/PHARMACY #08234 OAKLAND TWP. MI,4
Alex Emilio LLC Royal Oak MI,7
ABC*8891-RETRO FITNESS 888-8279262 MI,0
COSTCO WHSE #0376 AUBURN HILLS MI,1
COSTCO WHSE #0376 AUBURN HILLS MI,1
MED*MICHIGAN EYE INST FLINT MI,7
SP KAGED - COSTCO NEXT HTTPSCOSTCO.KCA,1
GARDEN BOWL DETROIT MI,3
COSTCO WHSE #0376 AUBURN HILLS MI,1
COSTCO WHSE #0376 AUBURN HILLS MI,1
QUALITY LUBRICATION AUTO AUBURN HILLS MI,8
OU ATH TICKET OFFICE ROCHESTER MI,3
COSTCO WHSE #0393 MADISON HEIGHMI,1
COSTCO WHSE #0393 MADISON HEIGHMI,1
COSTCO WHSE #0376 AUBURN HILLS MI,1
WM SUPERCENTER #4424 WARREN MI,1
WAL-MART #4424 WARREN MI,1
COSTCO WHSE #0394 ROSEVILLE MI,1
COSTCO WHSE #0394 ROSEVILLE MI,1
ARITZIA SOMERSET TROY MI,5
CITY OF DETROIT MUN PARKIDETROIT MI,7
NORDSTROM-RACK #0231 TROY MI,5
NORDSTROM #0228 TROY MI,5
APPLE.COM/BILL 866-712-7753 CA,7
CVS/PHARMACY #08234 OAKLAND TWP. MI,4
8891 RETRO FIT ROCHESTER ROCHESTER MI,0
COSTCO WHSE #0393 MADISON HEIGHMI,1
COSTCO WHSE #0393 MADISON HEIGHMI,1
ROYAL OAK MPS MINNETONKA MN,7
OU RECWELL ROCHESTER MI,0
INTUIT *TURBOTAX CL.INTUIT.COMCA,7
COSTCO WHSE #0376 AUBURN HILLS MI,1
COSTCO WHSE #0393 MADISON HEIGHMI,1
COSTCO WHSE #0393 MADISON HEIGHMI,1
THE SALVATION ARMY 7 ROCHESTER HLSMI,5
TARGET 00003517 ROCHESTER MI,1
COSTCO WHSE #0376 AUBURN HILLS MI,1
COSTCO WHSE #0376 AUBURN HILLS MI,1
COSTCO WHSE #0376 AUBURN HILLS MI,1
METROPOLIS PARKING HTTPSWWW.METRTN,7
COSTCO WHSE #0376 AUBURN HILLS MI,1
COSTCO WHSE #0376 AUBURN HILLS MI,1
AMZN Mktp US*R06XY2QQ0 Amzn.com/billWA,5
MARKET@WORK 2067379149 RENTON WA,2
COSTCO WHSE #0376 AUBURN HILLS MI,1
COSTCO WHSE #0376 AUBURN HILLS MI,1
APPLE.COM/BILL 866-712-7753 CA,7
AMZN Mktp US*R80VZ0Z62 Amzn.com/billWA,5
CVS/PHARMACY #08234 OAKLAND TWP. MI,4
Amazon.com*RT9J06YZ2 Amzn.com/billWA,5
COSTCO WHSE #0376 AUBURN HILLS MI,1
METRO AIRPORT PARKING DETROIT MI,6
RSW SANIBEL MARKETPLAC FORT MYERS FL,2
TST* SMUGGLERS COVE ADVENFort Myers BeFL,3
TST* SMUGGLERS COVE ADVENFort Myers BeFL,3
COSTCO WHSE #0376 AUBURN HILLS MI,1
SVS VISION 74 AUBURN HIL AUBURN HILLS MI,7
WWW COSTCO COM 800-955-2292 WA,1
MJR UNIVERSAL GRAND DI 248-548-8282 MI,3
CITY OF DETROIT MUN PARKIDETROIT MI,7
CITY OF ROYAL OAK ROYAL OAK MI,7
MARK RIDLEYS COMEDY CAST ROYAL OAK MI,3
ROYAL OAK MPS MINNETONKA MN,7
ALEXEMILIO SALON ROYAL OAK MI,7
PAYPAL *POWERRACKST SAN JOSE CA,7
BALD MOUNTAIN SHOOTING RALAKE ORION MI,3
COSTCO GAS #0376 AUBURN HILLS MI,8
SPEEDWAY 08830 ROCHESTER ROCHESTER HILMI,8
BP#2151900TOMA & SONS EN ROCHESTER MI,8
AMOCO#20995005564 WOODWA DETROIT MI,8
BP#2143900AUBURN FUEL MA AUBURN HILLS MI,8
BP#2143900AUBURN FUEL MA AUBURN HILLS MI,8
ROYAL OAK MPS MINNETONKA MN,7
COSTCO GAS #0376 AUBURN HILLS MI,8
COSTCO GAS #0393 MADISON HEIGHMI,8
CITY OF DETROIT MUN PARKIDETROIT MI,7
BP#2151900TOMA & SONS EN ROCHESTER MI,8
DELTA AIR 0062218816343800-2211212 CA,6
DELTA AIR 0062218816342800-2211212 CA,6
COSTCO GAS #0376 AUBURN HILLS MI,8
EXXON M-24 & SILVERBELL ILAKE ORION MI,8
COSTCO GAS #0376 AUBURN HILLS MI,8
COSTCO GAS #0394 ROSEVILLE MI,8
BP#2151900TOMA & SONS EN ROCHESTER MI,8
MEIJER # 237 FUEL WARREN MI,8
COSTCO GAS #0376 AUBURN HILLS MI,8
SPEEDWAY 02263 S MAIN ANDROMEO MI,8
MARKET@WORK 2067379149 RENTON WA,2
MARKET@WORK 2067379149 RENTON WA,2
MARKET@WORK 2067379149 RENTON WA,2
COSTCO GAS #0376 AUBURN HILLS MI,8
COSTCO GAS #0376 AUBURN HILLS MI,8
COSTCO GAS #0376 AUBURN HILLS MI,8
COSTCO GAS #0376 AUBURN HILLS MI,8
COSTCO GAS #0376 AUBURN HILLS MI,8
COSTCO WHSE #0376 AUBURN HILLS MI,1
COSTCO GAS #0376 AUBURN HILLS MI,8
OTTAVA VIA DETROIT MI,2
EXXON M-24 & SILVERBEL LAKE ORION MI,8
SASHABAW CITGO CLARKSTON MI,8
SPEEDWAY 08861 STERLIN STERLING HEIG MI,8
SASHABAW CITGO CLARKSTON MI,8
KROGER FUEL #9651 CLARKSTON MI,8
EXXON M-24 & SILVERBEL LAKE ORION MI,8
SHELL OIL 12734932002 CLARKSTON MI,8
EXXON HEATHER ENTERPRI ROCHESTER HIL MI,8
EXXON HEATHER ENTERPRI ROCHESTER HIL MI,8
SHELL OIL 12734932002 CLARKSTON MI,8
EXXON PINE KNOB CLARKSTON MI,8
AMOCO#2099500WOODWAQPS DETROIT MI,8
MARATHON PETRO44842 DETROIT MI,8
EXXON HEATHER ENTERPRI ROCHESTER HIL MI,8
EXXON HEATHER ENTERPRI ROCHESTER HIL MI,8
KROGER FUEL #9754 SHELBY TOWNSH MI,8
EXXON HEATHER ENTERPRI ROCHESTER HIL MI,8
SHELL OIL 521407000QPS HALE MI,8
EXXON HEATHER ENTERPRI ROCHESTER HIL MI,8
MARATHON PETRO182980 DETROIT MI,8
SPEEDWAY 02306 3195 S AUBURN HILLS MI,8
KEN'S QUICK STOP INDIAN RIVER MI,8
SUNOCO 0515815900 QPS CLARKSTON MI,8
SPEEDWAY 08830 ROCHEST ROCHESTER HIL MI,8
MARATHON PETRO67074 MACOMB MI,8
SHELL OIL 57446432304 LAKE ORION MI,8
KROGER FUEL #9637 LAKE ORION MI,8
EXXON M-24 & SILVERBEL LAKE ORION MI,8
SUNOCO 0653888800 QPS STERLING HEIG MI,8
YOSHI* 07-20-23 SVC NASHVILLE TN,8
SHELL OIL 574416129QPS ROCHESTER HIL MI,8
SPEEDWAY 08830 ROCHEST ROCHESTER HIL MI,8
YOSHI* 07-11-23 SVC NASHVILLE TN,8
KROGER FUEL #9754 SHELBY TOWNSH MI,8
MARATHON PETRO1719 DAVISBURG MI,8
YOSHI* 06-06-23 SVC NASHVILLE TN,8
"M-24 & SILVERBELL, INC LAKE ORION MI",8
YOSHI* 05-31-23 SVC NASHVILLE TN,8
SPEEDWAY 08830 ROCHEST ROCHESTER HIL MI,8
YOSHI* 05-23-23 SVC NASHVILLE TN,8
SHELL OIL 12734932002 CLARKSTON MI,8
YOSHI* 05-18-23 SVC NASHVILLE TN,8
CIRCLE K # 21287 JACKSONVILLE FL,8
KROGER FUEL #9754 SHELBY TOWNSH MI,8
MEIJER # 253 FUEL EAST LANSING MI,8
SPEEDWAY 02322 26 MILE WASHINGTON MI,8
SHELBY GET & GO SHELBY TOWNSH MI,8
BP#6897011AUBURN FUQPS AUBURN HILLS MI,8
KROGER FUEL #9754 SHELBY TOWNSH MI,8
KROGER FUEL #9651 CLARKSTON MI,8
MEIJER # 253 FUEL EAST LANSING MI,8
SHELL OIL 12734932002 CLARKSTON MI,8
MEIJER # 253 FUEL EAST LANSING MI,8
SHELL OIL 12734932002 CLARKSTON MI,8
SPEEDWAY 08830 ROCHEST ROCHESTER HIL MI,8
